TimeStamp,Voltage,Current,RealPower,PowerFactor,ApparantPower,Reactivepower,Frequency,Remarks
2021-08-10 09:03:09.507528,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.511346,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.515215,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.518519,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.522598,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.526468,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.530456,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.534304,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.537670,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.541585,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.545430,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.549394,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.553330,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.557261,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.560541,224.10,0.71,165.00,0.91,181.52,75.66,50.02,
2021-08-10 09:03:09.564503,224.10,0.71,165.00,0.91,181.52,75.66,50.02,
2021-08-10 09:03:09.568460,224.10,0.71,165.00,0.91,181.52,75.66,50.02,
2021-08-10 09:03:09.572391,224.10,0.71,165.00,0.91,181.52,75.66,50.02,
2021-08-10 09:03:09.576296,224.10,0.71,165.00,0.91,181.52,75.66,50.02,
2021-08-10 09:03:09.579638,224.10,0.71,165.00,0.91,181.52,75.66,50.02,
2021-08-10 09:03:09.583565,224.10,0.71,165.00,0.91,181.52,75.66,50.02,
2021-08-10 09:03:09.587500,224.10,0.71,165.00,0.91,181.52,75.66,50.02,
2021-08-10 09:03:09.591447,224.10,0.71,165.00,0.91,181.52,75.66,50.02,
2021-08-10 09:03:09.595330,224.10,0.71,165.00,0.91,181.52,75.66,50.02,
2021-08-10 09:03:09.599253,224.10,0.71,165.00,0.91,181.52,75.66,50.02,
